ID,Label
793,get
794,tim
795,say
796,say
797,way
798,get
799,say
800,good
801,way
802,way
803,say
804,say
805,tim
806,get
807,get
808,way
809,tim
810,tim
811,get
812,play
813,get
814,play
815,say
816,get
817,get
818,get
819,say
820,get
821,get
822,get
823,play
824,say
825,way
826,work
827,way
828,get
829,way
830,get
831,new
832,work
833,get
834,get
835,play
836,work
837,say
838,way
839,good
840,work
841,say
842,work
843,work
844,real
845,real
846,get
847,say
848,get
849,get
850,get
851,new
852,get
853,get
854,play
855,get
856,say
857,get
858,say
859,get
860,new
861,new
862,get
863,way
864,way
865,way
866,get
867,good
868,get
869,say
870,get
871,get
872,get
873,get
874,play
875,good
876,say
877,way
878,work
879,get
880,work
881,get
882,get
883,get
884,get
885,say
886,good
887,work
888,play
889,get
890,way
891,say
892,get
893,way
894,get
895,get
896,get
897,say
898,get
899,play
900,get
901,way
902,get
903,say
904,play
905,get
906,get
907,say
908,work
909,say
910,way
911,good
912,play
913,get
914,get
915,way
916,say
917,play
918,new
919,get
920,way
921,tim
922,get
923,say
924,work
925,play
926,say
927,get
928,get
929,say
930,get
931,play
932,way
933,way
934,get
935,play
936,new
937,way
938,play
939,new
940,good
941,tim
942,say
943,get
944,work
945,say
946,get
947,say
948,work
949,get
950,say
951,way
952,tim
953,work
954,work
955,get
956,get
957,work
958,work
959,play
960,work
961,way
962,get
963,work
964,work
965,say
966,work
967,get
968,get
969,good
970,way
971,get
972,good
973,get
974,get
975,new
976,work
977,get
978,get
979,work
980,get
981,way
982,get
983,get
984,work
985,get
986,get
987,tim
988,get
989,get
990,get
991,tim
992,way
993,get
994,say
995,get
996,play
997,work
998,way
999,get
1000,get
1001,get
1002,work
1003,get
1004,get
1005,get
1006,get
1007,get
1008,way
1009,get
1010,say
1011,play
1012,way
1013,play
1014,get
1015,get
1016,get
1017,tim
1018,way
1019,say
1020,way
1021,get
1022,get
1023,good
1024,work
1025,play
1026,new
1027,get
1028,tim
1029,work
1030,good
1031,get
1032,say
1033,get
1034,tim
1035,way
1036,way
1037,get
1038,get
1039,get
1040,get
1041,say
1042,say
1043,way
1044,way
1045,say
1046,get
1047,work
1048,say
1049,way
1050,say
1051,play
1052,get
1053,say
1054,way
1055,get
1056,get
1057,work
1058,say
1059,get
1060,tim
1061,way
1062,work
1063,work
1064,good
1065,work
1066,get
1067,say
1068,work
1069,way
1070,play
1071,get
1072,get
1073,get
1074,way
1075,work
1076,get
1077,get
1078,tim
1079,way
1080,play
1081,way
1082,play
1083,get
1084,get
1085,way
1086,real
1087,get
1088,work
1089,get
1090,way
1091,good
1092,get
1093,say
1094,get
1095,way
1096,good
1097,real
1098,get
1099,get
1100,tim
1101,say
1102,play
1103,get
1104,play
1105,get
1106,say
1107,say
1108,way
1109,get
1110,get
1111,play
1112,get
1113,way
1114,way
1115,get
1116,play
1117,say
1118,play
1119,play
1120,play
1121,tim
1122,way
1123,get
1124,get
1125,play
1126,say
1127,get
1128,work
1129,work
1130,get
1131,play
1132,way
1133,get
1134,work
1135,get
1136,tim
1137,get
1138,play
1139,get
1140,get
1141,way
1142,get
1143,work
1144,get
1145,real
1146,get
1147,get
1148,good
1149,way
1150,way
1151,get
1152,play
1153,get
1154,way
1155,get
